"Truck Number","Type Code","Type Description","Vin Number","Dot Number","Terminal/Office","Insurance Policy Number","License Plate","State/Province"
="667","TR","Tractor (Semi)","4V4NC9EH4NN288121",,"1805 CHEMIN SAINT-FRANCOIS",,"L979598","QC"
="668","TR","Tractor (Semi)","4V4NC9EH6NN288122",,"1805 CHEMIN SAINT-FRANCOIS",,"L912822","QC"
="669","TR","Tractor (Semi)","4V4NC9EH8NN288123",,"1805 CHEMIN SAINT-FRANCOIS",,"L912448","QC"
="670","TR","Tractor (Semi)","4V4NC9EHXNN288124",,"1805 CHEMIN SAINT-FRANCOIS",,"L928874","QC"
="671","TR","Tractor (Semi)","4V4NC9EH4NN309503",,"1805 CHEMIN SAINT-FRANCOIS",,"L939584","QC"
="672","TR","Tractor (Semi)","4V4NC9EH6NN309504",,"1805 CHEMIN SAINT-FRANCOIS",,"L769103","QC"
="673","TR","Tractor (Semi)","4V4NC9EH8NN309505",,"1805 CHEMIN SAINT-FRANCOIS",,"L939504","QC"
="674","TR","Tractor (Semi)","4V4NC9EH1NN309507",,"1805 CHEMIN SAINT-FRANCOIS",,"L972881","QC"
="675","TR","Tractor (Semi)","4V4NC9EH3NN309508",,"1805 CHEMIN SAINT-FRANCOIS",,"L939506","QC"
="676","TR","Tractor (Semi)","4V4NC9EH5NN309509",,"1805 CHEMIN SAINT-FRANCOIS",,"L939507","QC"
="677","TR","Tractor (Semi)","4V4NC9EH1NN309510",,"1805 CHEMIN SAINT-FRANCOIS",,"L939508","QC"
="678","TR","Tractor (Semi)","4V4NC9EH3NN309511",,"1805 CHEMIN SAINT-FRANCOIS",,"L939509","QC"
="679","TR","Tractor (Semi)","4V4NC9EH6PN309506",,"1805 CHEMIN SAINT-FRANCOIS",,"L947799","QC"
="680","TR","Tractor (Semi)","4V4NC9EH1PN309512",,"1805 CHEMIN SAINT-FRANCOIS",,"L947798","QC"
="681","TR","Tractor (Semi)","4V4NC9EH0PN319304",,"1805 CHEMIN SAINT-FRANCOIS",,"L947986","QC"
="683","TR","Tractor (Semi)","4V4NC9EH4PN322383",,"1805 CHEMIN SAINT-FRANCOIS",,"L954305","QC"
="684","TR","Tractor (Semi)","4V4NC9EH6PN322384",,"1805 CHEMIN SAINT-FRANCOIS",,"L954307","QC"
="685","TR","Tractor (Semi)","4V4NC9EH8PN322385",,"1805 CHEMIN SAINT-FRANCOIS",,"L954308","QC"
="686","TR","Tractor (Semi)","4V4NC9EHXPN322386",,"1805 CHEMIN SAINT-FRANCOIS",,"L962513","QC"
="687","TR","Tractor (Semi)","4V4NC9EH1PN322387",,"1805 CHEMIN SAINT-FRANCOIS",,"L956692","QC"
="688","TR","Tractor (Semi)","4V4NC9EH3PN322388",,"1805 CHEMIN SAINT-FRANCOIS",,"L960226","QC"
="689","TR","Tractor (Semi)","4V4NC9EH5PN322389",,"1805 CHEMIN SAINT-FRANCOIS",,"L956626","QC"
="690","TR","Tractor (Semi)","4V4NC9EH1PN322390",,"1805 CHEMIN SAINT-FRANCOIS",,"L960225","QC"
="691","TR","Tractor (Semi)","4V4NC9EH3PN322391",,"1805 CHEMIN SAINT-FRANCOIS",,"L960224","QC"
="692","TR","Tractor (Semi)","4V4NC9EH5PN322392",,"1805 CHEMIN SAINT-FRANCOIS",,"L952674","QC"
="693","TR","Tractor (Semi)","4V4NC9EH7PN322393",,"1805 CHEMIN SAINT-FRANCOIS",,"L952748","QC"
="694","TR","Tractor (Semi)","4V4NC9EH9PN322394",,"1805 CHEMIN SAINT-FRANCOIS",,"L952747","QC"
="695","TR","Tractor (Semi)","4V4NC9EH0PN322395",,"1805 CHEMIN SAINT-FRANCOIS",,"L952746","QC"
="696","TR","Tractor (Semi)","4V4NC9EH2PN322396",,"1805 CHEMIN SAINT-FRANCOIS",,"L962769","QC"
="697","TR","Tractor (Semi)","4V4NC9EH4PN322397",,"1805 CHEMIN SAINT-FRANCOIS",,"L952745","QC"
="698","TR","Tractor (Semi)","4V4NC9EH6PN322398",,"1805 CHEMIN SAINT-FRANCOIS",,"L952749","QC"
="699","TR","Tractor (Semi)","4V4NC9EH8PN322399",,"1805 CHEMIN SAINT-FRANCOIS",,"L962514","QC"
="709","TR","Tractor (Semi)","3AKJHHDR3KSKA0109",,"1805 CHEMIN SAINT-FRANCOIS",,"L815009","QC"
="7100","TR","Tractor (Semi)","3AKJHHDR9PSUR1100",,"1805 CHEMIN SAINT-FRANCOIS",,"L977401","QC"
="7101","TR","Tractor (Semi)","3AKJHHDR0PSUR1101",,"1805 CHEMIN SAINT-FRANCOIS",,"L977398","QC"
="7102","TR","Tractor (Semi)","3AKJHHDR2PSUR1102",,"1805 CHEMIN SAINT-FRANCOIS",,"L977404","QC"
="7103","TR","Tractor (Semi)","3AKJHHDR4PSUR1103",,"1805 CHEMIN SAINT-FRANCOIS",,"L985949","QC"
="7104","TR","Tractor (Semi)","3AKJHHDR6PSUR1104",,"1805 CHEMIN SAINT-FRANCOIS",,"L977405","QC"
="7105","TR","Tractor (Semi)","3AKJHHDR8PSUR1105",,"1805 CHEMIN SAINT-FRANCOIS",,"L977400","QC"
="7106","TR","Tractor (Semi)","3AKJHHDRXPSUR1106",,"1805 CHEMIN SAINT-FRANCOIS",,"L977403","QC"
="7107","TR","Tractor (Semi)","3AKJHHDR1PSUR1107",,"1805 CHEMIN SAINT-FRANCOIS",,"L977406","QC"
="7108","TR","Tractor (Semi)","3AKJHHDR3PSUR1108",,"1805 CHEMIN SAINT-FRANCOIS",,"L974338","QC"
="7109","TR","Tractor (Semi)","3AKJHHDR5PSUR1109",,"1805 CHEMIN SAINT-FRANCOIS",,"L974340","QC"
="7110","TR","Tractor (Semi)","3AKJHHDR1PSUR1110",,"1805 CHEMIN SAINT-FRANCOIS",,"L977397","QC"
="7111","TR","Tractor (Semi)","3AKJHHDR3PSUR1111",,"1805 CHEMIN SAINT-FRANCOIS",,"L974337","QC"
="7112","TR","Tractor (Semi)","3AKJHHDR5PSUR1112",,"1805 CHEMIN SAINT-FRANCOIS",,"L977399","QC"
="7113","TR","Tractor (Semi)","3AKJHHDR7PSUR1113",,"1805 CHEMIN SAINT-FRANCOIS",,"L974339","QC"
="7114","TR","Tractor (Semi)","3AKJHHDR4PSUR1070",,"1805 CHEMIN SAINT-FRANCOIS",,"L985948","QC"
="7115","TR","Tractor (Semi)","3AKJHHDR8RSVD4341",,"1805 CHEMIN SAINT-FRANCOIS",,"L959795","QC"
="71157","TR","Tractor (Semi)","3AKJHHDR2TSWJ2057",="1032862","1805 CHEMIN SAINT-FRANCOIS",,"LE45424","QC"
="7116","TR","Tractor (Semi)","3AKJHHDRXRSVD4342",,"1805 CHEMIN SAINT-FRANCOIS",,"L959794","QC"
="7117","TR","Tractor (Semi)","3AKJHHDRXRSUV5435",,"1805 CHEMIN SAINT-FRANCOIS",,"L889307","QC"
="7118","TR","Tractor (Semi)","3AKJHHDR3RSUV5437",,"1805 CHEMIN SAINT-FRANCOIS",,"L889304","QC"
="7119","TR","Tractor (Semi)","3AKJHHDR7RSUV5439",,"1805 CHEMIN SAINT-FRANCOIS",,"L889310","QC"
="7120","TR","Tractor (Semi)","3AKJHHDR3RSUV5440",,"1805 CHEMIN SAINT-FRANCOIS",,"L889312","QC"
="7121","TR","Tractor (Semi)","3AKJHHDR5RSUV5441",,"1805 CHEMIN SAINT-FRANCOIS",,"L889308","QC"
="7122","TR","Tractor (Semi)","3AKJHHDR7RSUV5442",,"1805 CHEMIN SAINT-FRANCOIS",,"L916825","QC"
="7123","TR","Tractor (Semi)","3AKJHHDR1RSUV5436",,"1805 CHEMIN SAINT-FRANCOIS",,"L951675","QC"
="7124","TR","Tractor (Semi)","3AKJHHDR5RSUV5438",,"1805 CHEMIN SAINT-FRANCOIS",,"L951695","QC"
="7125","TR","Tractor (Semi)","3AKJHHDR9RSUV5443",,"1805 CHEMIN SAINT-FRANCOIS",,"L951694","QC"
="7126","TR","Tractor (Semi)","3AKJHHDR0RSUV5444",,"1805 CHEMIN SAINT-FRANCOIS",,"L963994","QC"
="7127","TR","Tractor (Semi)","3AKJHHDR2RSUV5445",,"1805 CHEMIN SAINT-FRANCOIS",,"L963992","QC"
="7128","TR","Tractor (Semi)","3AKJHHDR4RSUV5446",,"1805 CHEMIN SAINT-FRANCOIS",,"L963993","QC"
="7129","TR","Tractor (Semi)","3AKJHHDR6RSUV5447",,"1805 CHEMIN SAINT-FRANCOIS",,"L963995","QC"
="7130","TR","Tractor (Semi)","3AKJHHDR6SSVR0272",,"1805 CHEMIN SAINT-FRANCOIS",,"L800088","QC"
="7131","TR","Tractor (Semi)","3AKJHHDR4SSVV5102",,"1805 CHEMIN SAINT-FRANCOIS",,"L800086","QC"
="7132","TR","Tractor (Semi)","3AKJHHDR6SSVV5103",,"1805 CHEMIN SAINT-FRANCOIS",,"L800087","QC"
="7133","TR","Tractor (Semi)","3AKJHHDR8SSVV5104",,"1805 CHEMIN SAINT-FRANCOIS",,"L800085","QC"
="7134","TR","Tractor (Semi)","3AKJHHDR9SSVP8827",,"1805 CHEMIN SAINT-FRANCOIS",,"L606276","QC"
="7135","TR","Tractor (Semi)","3AKJHHDR0SSVP8828",,"1805 CHEMIN SAINT-FRANCOIS",,"L606242","QC"
="7136","TR","Tractor (Semi)","3AKJHHDR2SSVP8829",,"1805 CHEMIN SAINT-FRANCOIS",,"L606224","QC"
="7137","TR","Tractor (Semi)","3AKJHHDR9SSVP8830",,"1805 CHEMIN SAINT-FRANCOIS",,"L606225","QC"
="7138","TR","Tractor (Semi)","3AKJHHDR0SSVP8831",,"1805 CHEMIN SAINT-FRANCOIS",,"L606241","QC"
="7139","TR","Tractor (Semi)","1FUJHHDR3TLWH8690",,"1805 CHEMIN SAINT-FRANCOIS",,"LE40801","QC"
="7140","TR","Tractor (Semi)","1FUJHHDR5TLWH8691",,"1805 CHEMIN SAINT-FRANCOIS",,"LE40810","QC"
="7141","TR","Tractor (Semi)","1FUJHHDR7TLWH8692",,"1805 CHEMIN SAINT-FRANCOIS",,"LE40805","QC"
="7142","TR","Tractor (Semi)","1FUJHHDR9TLWH8693",,"1805 CHEMIN SAINT-FRANCOIS",,"LE40804","QC"
="7143","TR","Tractor (Semi)","1FUJHHDR0TLWH8694",,"1805 CHEMIN SAINT-FRANCOIS",,"LE40803","QC"
="7144","TR","Tractor (Semi)","1FUJHHDR2TLWH8695",,"1805 CHEMIN SAINT-FRANCOIS",,"LE45423","QC"
="7145","TR","Tractor (Semi)","1FUJHHDR4TLWH8696",,"1805 CHEMIN SAINT-FRANCOIS",,"LE45428","QC"
="7146","TR","Tractor (Semi)","1FUJHHDR6TLWH8697",,"1805 CHEMIN SAINT-FRANCOIS",,"LE50246","QC"
="7147","TR","Tractor (Semi)","1FUJHHDR8TLWH8698",,"1805 CHEMIN SAINT-FRANCOIS",,"LE50245","QC"
="7148","TR","Tractor (Semi)","1FUJHHDRXTLWH8699",,"1805 CHEMIN SAINT-FRANCOIS",,"LE50244","QC"
="7149","TR","Tractor (Semi)","3AKJHHDR3TSWJ2049",,"1805 CHEMIN SAINT-FRANCOIS",,"LE40809","QC"
="7150","TR","Tractor (Semi)","3AKJHHDRXTSWJ2050",,"1805 CHEMIN SAINT-FRANCOIS",,"LE40802","QC"
="7151","TR","Tractor (Semi)","3AKJHHDR1TSWJ2051",,"1805 CHEMIN SAINT-FRANCOIS",,"LE40808","QC"
="7152","TR","Tractor (Semi)","3AKJHHDR3TSWJ2052",,"1805 CHEMIN SAINT-FRANCOIS",,"LE40806","QC"
="7153","TR","Tractor (Semi)","3AKJHHDR5TSWJ2053",,"1805 CHEMIN SAINT-FRANCOIS",,"LE40807","QC"
="7154","TR","Tractor (Semi)","3AKJHHDR7TSWJ2054",,"1805 CHEMIN SAINT-FRANCOIS",,"LE45426","QC"
="7155","TR","Tractor (Semi)","3AKJHHDR9TSWJ2055",,"1805 CHEMIN SAINT-FRANCOIS",,"LE45427","QC"
="7156","TR","Tractor (Semi)","3AKJHHDR0TSWJ2056",,"1805 CHEMIN SAINT-FRANCOIS",,"LE45425","QC"
="7157","TR","Tractor (Semi)","3AKJHHDR2TSWJ2057",,"1805 CHEMIN SAINT-FRANCOIS",,"LE45424","QC"
="7158","TR","Tractor (Semi)","3AKJHHDR4TSWJ2058",,"1805 CHEMIN SAINT-FRANCOIS",,"LE45429","QC"
="7159","TR","Tractor (Semi)","3AKJHHDR6TSWJ2059",,"1805 CHEMIN SAINT-FRANCOIS",,"LE45431","QC"
="716","TR","Tractor (Semi)","3AKJHHDR3NSMX0529",,"1805 CHEMIN SAINT-FRANCOIS",,"LE84590","QC"
="7160","TR","Tractor (Semi)","3AKJHHDR2TSWJ2060",,"1805 CHEMIN SAINT-FRANCOIS",,"LE45430","QC"
="7161","TR","Tractor (Semi)","3AKJHHDR4TSWJ2061",,"1805 CHEMIN SAINT-FRANCOIS",,"LE45422","QC"
="7162","TR","Tractor (Semi)","3AKJHHDR6TSWJ2062",,"1805 CHEMIN SAINT-FRANCOIS",,"LE50242","QC"
="7163","TR","Tractor (Semi)","3AKJHHDR8TSWJ2063",,"1805 CHEMIN SAINT-FRANCOIS",,"LE50241","QC"
="7164","TR","Tractor (Semi)","3AKJHHDRXTSWJ2064",,"1805 CHEMIN SAINT-FRANCOIS",,"LE50240","QC"
="7165","TR","Tractor (Semi)","1FUJHHDR2TLWH8700",,"1805 CHEMIN SAINT-FRANCOIS",,"LE50239","QC"
="7166","TR","Tractor (Semi)","1FUJHHDR4TLWH8701",,"1805 CHEMIN SAINT-FRANCOIS",,"LE50238","QC"
="7167","TR","Tractor (Semi)","1FUJHHDR6TLWH8702",,"1805 CHEMIN SAINT-FRANCOIS",,"LE50237","QC"
="7168","TR","Tractor (Semi)","1FUJHHDR8TLWH8703",,"1805 CHEMIN SAINT-FRANCOIS",,"LE50236","QC"
="722","TR","Tractor (Semi)","3AKJHHDR9NSMX0552",,"1805 CHEMIN SAINT-FRANCOIS",,"L913322","QC"
="725","TR","Tractor (Semi)","3AKJHHDR8NSMX0557",="1032862","1805 CHEMIN SAINT-FRANCOIS",,"L928912","QC"
="726","TR","Tractor (Semi)","3AKJHHDR1NSMX0559",="1032862","1805 CHEMIN SAINT-FRANCOIS",,"L913386","QC"
="727","TR","Tractor (Semi)","3AKJHHDR7NSMX0565",,"1805 CHEMIN SAINT-FRANCOIS",,"L913327","QC"
="728","TR","Tractor (Semi)","3AKJHHDR9NSMX0566",,"1805 CHEMIN SAINT-FRANCOIS",,"L913328","QC"
="729","TR","Tractor (Semi)","3AKJHHDR0NSMX0567",,"1805 CHEMIN SAINT-FRANCOIS",,"L913329","QC"
="730","TR","Tractor (Semi)","3AKJHHDR2NSMX0568",,"1805 CHEMIN SAINT-FRANCOIS",,"L913330","QC"
="731","TR","Tractor (Semi)","3AKJHHDR4NSMX0569",,"1805 CHEMIN SAINT-FRANCOIS",,"L913331","QC"
="732","TR","Tractor (Semi)","3AKJHHDR7NSMX0579",,"1805 CHEMIN SAINT-FRANCOIS",,"L913332","QC"
="733","TR","Tractor (Semi)","3AKJHHDR3NSMX0580",,"1805 CHEMIN SAINT-FRANCOIS",,"L913363","QC"
="734","TR","Tractor (Semi)","3AKJHHDR8NSNC0305",="1032862","1805 CHEMIN SAINT-FRANCOIS",,"L930013","QC"
="735","TR","Tractor (Semi)","3AKJHHDRXNSNC0306",,"1805 CHEMIN SAINT-FRANCOIS",,"L930293","QC"
="736","TR","Tractor (Semi)","3AKJHHDR1NSNC0307",,"1805 CHEMIN SAINT-FRANCOIS",,"L930178","QC"
="737","TR","Tractor (Semi)","3AKJHHDR3NSNC0308",,"1805 CHEMIN SAINT-FRANCOIS",,"L930102","QC"
="738","TR","Tractor (Semi)","3AKJHHDR5NSNC0309",,"1805 CHEMIN SAINT-FRANCOIS",,"L930014","QC"
="739","TR","Tractor (Semi)","3AKJHHDR1NSNC0310",,"1805 CHEMIN SAINT-FRANCOIS",,"L930015","QC"
="740","TR","Tractor (Semi)","3AKJHHDR3NSNC0311",,"1805 CHEMIN SAINT-FRANCOIS",,"L939502","QC"
="741","TR","Tractor (Semi)","3AKJHHDR5NSNC0312",,"1805 CHEMIN SAINT-FRANCOIS",,"L939503","QC"
="742","TR","Tractor (Semi)","1FUJHHDR1NLNC0528",,"1805 CHEMIN SAINT-FRANCOIS",,"L928726","QC"
="743","TR","Tractor (Semi)","1FUJHHDR3NLNC0529",,"1805 CHEMIN SAINT-FRANCOIS",,"L928727","QC"
="744","TR","Tractor (Semi)","1FUJHHDRXNLNC0530",,"1805 CHEMIN SAINT-FRANCOIS",,"L930282","QC"
="745","TR","Tractor (Semi)","1FUJHHDR1NLNC0531",,"1805 CHEMIN SAINT-FRANCOIS",,"L930016","QC"
="746","TR","Tractor (Semi)","1FUJHHDR3NLNC0532",,"1805 CHEMIN SAINT-FRANCOIS",,"L932112","QC"
="747","TR","Tractor (Semi)","1FUJHHDR5NLNC0533",,"1805 CHEMIN SAINT-FRANCOIS",,"L930176","QC"
="748","TR","Tractor (Semi)","1FUJHHDR7NLNC0534",,"1805 CHEMIN SAINT-FRANCOIS",,"L930292","QC"
="749","TR","Tractor (Semi)","3AKJHHDR8PSNW2111",,"1805 CHEMIN SAINT-FRANCOIS",,"L969273","QC"
="750","TR","Tractor (Semi)","3AKJHHDRXPSNW2112",,"1805 CHEMIN SAINT-FRANCOIS",,"L962774","QC"
="751","TR","Tractor (Semi)","3AKJHHDR1PSNW2113",,"1805 CHEMIN SAINT-FRANCOIS",,"L799503","QC"
="752","TR","Tractor (Semi)","3AKJHHDR3PSNW2114",,"1805 CHEMIN SAINT-FRANCOIS",,"L962550","QC"
="753","TR","Tractor (Semi)","3AKJHHDR5PSNW2115",,"1805 CHEMIN SAINT-FRANCOIS",,"L962691","QC"
="754","TR","Tractor (Semi)","3AKJHHDR7PSNW2116",,"1805 CHEMIN SAINT-FRANCOIS",,"L962690","QC"
