"Truck Number","Type Code","Type Description","Vin Number","Dot Number","Terminal/Office","Insurance Policy Number","License Plate","State/Province"
="779","TR","Tractor (Semi)","3AKJHHDR0PSUR1079",,"1805 CHEMIN SAINT-FRANCOIS",,"L977395","QC"
="780","TR","Tractor (Semi)","3AKJHHDR7PSUR1080",,"1805 CHEMIN SAINT-FRANCOIS",,"L984331","QC"
="781","TR","Tractor (Semi)","3AKJHHDR9PSUR1081",,"1805 CHEMIN SAINT-FRANCOIS",,"L974332","QC"
="782","TR","Tractor (Semi)","3AKJHHDR0PSUR1082",,"1805 CHEMIN SAINT-FRANCOIS",,"L973442","QC"
="783","TR","Tractor (Semi)","3AKJHHDR2PSUR1083",,"1805 CHEMIN SAINT-FRANCOIS",,"L984336","QC"
="784","TR","Tractor (Semi)","3AKJHHDR4PSUR1084",,"1805 CHEMIN SAINT-FRANCOIS",,"L968149","QC"
="785","TR","Tractor (Semi)","3AKJHHDR6PSUR1085",,"1805 CHEMIN SAINT-FRANCOIS",,"L984339","QC"
="786","TR","Tractor (Semi)","3AKJHHDR8PSUR1086",,"1805 CHEMIN SAINT-FRANCOIS",,"L974335","QC"
="787","TR","Tractor (Semi)","3AKJHHDRXPSUR1087",,"1805 CHEMIN SAINT-FRANCOIS",,"L974336","QC"
="788","TR","Tractor (Semi)","3AKJHHDR1PSUR1088",,"1805 CHEMIN SAINT-FRANCOIS",,"L977393","QC"
="789","TR","Tractor (Semi)","3AKJHHDR3PSUR1089",,"1805 CHEMIN SAINT-FRANCOIS",,"L974333","QC"
="790","TR","Tractor (Semi)","3AKJHHDRXPSUR1090",,"1805 CHEMIN SAINT-FRANCOIS",,"L984333","QC"
="791","TR","Tractor (Semi)","3AKJHHDR1PSUR1091",,"1805 CHEMIN SAINT-FRANCOIS",,"L984332","QC"
="792","TR","Tractor (Semi)","3AKJHHDR3PSUR1092",,"1805 CHEMIN SAINT-FRANCOIS",,"L968150","QC"
="794","TR","Tractor (Semi)","3AKJHHDR7PSUR1094",,"1805 CHEMIN SAINT-FRANCOIS",,"L977396","QC"
="795","TR","Tractor (Semi)","3AKJHHDR9PSUR1095",,"1805 CHEMIN SAINT-FRANCOIS",,"L944481","QC"
="796","TR","Tractor (Semi)","3AKJHHDR0PSUR1096",,"1805 CHEMIN SAINT-FRANCOIS",,"L974334","QC"
="797","TR","Tractor (Semi)","3AKJHHDR2PSUR1097",,"1805 CHEMIN SAINT-FRANCOIS",,"L985975","QC"
="798","TR","Tractor (Semi)","3AKJHHDR4PSUR1098",="1032862","1805 CHEMIN SAINT-FRANCOIS",,"L985947","QC"
="799","TR","Tractor (Semi)","3AKJHHDR6PSUR1099",="1032862","1805 CHEMIN SAINT-FRANCOIS",,"L985945","QC"
"O","TR","Tractor (Semi)","3AKJHHDR8SSVV5104",,"1805 CHEMIN SAINT-FRANCOIS",,"L800085","QC"
"OE","TR","Tractor (Semi)","3AKJHHDR3PSUR1108",,"1805 CHEMIN SAINT-FRANCOIS",,"L974338","QC"
"ST1310","TR","Tractor (Semi)","3AKJHHDRXPSUL4100",,"1805 CHEMIN SAINT-FRANCOIS",,"PB20628","ON"
