"Trailer Number","Type Code","Type Description","Terminal/Office","License Plate","State/Province"
="5222","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT3006M","QC"
="5223","TF","Trailer (Dry freight)","1805 CHEMIN SAINT-FRANCOIS","RT6099M","QC"
="5224","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT1653N","QC"
="5225","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT1654N","QC"
="5226","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT2349V","QC"
="5227","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT8625T","QC"
="5228","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT8470V","QC"
="5229","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT8626T","QC"
="523","OE","Other","1805 CHEMIN SAINT-FRANCOIS","RJ1871V","QC"
="5230","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT5488T","QC"
="5231","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT2350V","QC"
="5232","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT2351V","QC"
="52320142","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RL6087A","QC"
="5233","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT8471V","QC"
="5234","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT0542W","QC"
="5235","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT0541W","QC"
="5236","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT2086W","QC"
="5237","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT2658W","QC"
="5238","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT6060V","QC"
="5238256","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RH5961J","ON"
="5239","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT6650V","QC"
="5239124","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RJ1744V","QC"
