"Trailer Number","Type Code","Type Description","Terminal/Office","License Plate","State/Province"
"FD532-3","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RK4330V","QC"
"FD532-30","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP1685C","QC"
"FD532-31","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RT5573W","QC"
"FD532-32","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RT5596W","QC"
"FD532-33","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RT5598W","QC"
"FD532-34","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RT5570W","QC"
"FD532-35","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RT5599W","QC"
"FD532-36","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RT5600W","QC"
"FD532-37","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RT5601W","QC"
"FD532-38","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RT5597W","QC"
"FD532-39","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RT5571W","QC"
"FD532-4","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RK4329V","QC"
"FD532-40","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","RT5572W","QC"
"FD532-5","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RK4328V","QC"
"FD532-6","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RK4327V","QC"
"FD532-7","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RK4326V","QC"
"FD532-8","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN0820V","QC"
"FD532-9","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN0819V","QC"
"FD533-1","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN7383N","QC"
"FD533-2","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN7382N","QC"
"FD533-3","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN7381N","QC"
"FD533-4","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP8580M","QC"
"FD533-5","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP8579M","QC"
"FD533-6","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP8578M","QC"
"FD533-7","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP8577M","QC"
"L220-1","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RE0512N","QC"
"L220-2","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RE0515N","QC"
"L320-1","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM0001C","QC"
"L320-2","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM0002C","QC"
"L320-3","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM0003C","QC"
"L320-4","CH","Chassis","1805 CHEMIN SAINT-FRANCOIS","RM0004C","QC"
"RGN3-01","CB","Gooseneck trailer","1805 CHEMIN SAINT-FRANCOIS","RP6086N","QC"
"SD01","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RK1583G","QC"
"SD02","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RM4702Y","QC"
"SD03","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RM4703Y","QC"
"SD04","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RM4704Y","QC"
"SD-05","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RT5192F","QC"
"SD05","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RT5192F","QC"
"SD06","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RM5400V","QC"
"SD07","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RM5372V","QC"
"SD08","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RK4308V","QC"
"SD09","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RK4307V","QC"
"SD-10","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8400K","QC"
"SD10","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8400K","QC"
"SD-12","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8397K","QC"
"SD-13","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8399K","QC"
"SD13","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8399K","QC"
"SD-15","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP6812P","QC"
"SD15","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RP6812P","QC"
"SD-16","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8398K","QC"
"SD16","FR","Flatbed trailer","1805 CHEMIN SAINT-FRANCOIS","RN8398K","QC"
"T42","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","Z9380K","ON"
"T43","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","Z9373K","ON"
"T48","TL","Semi truck trailer","1805 CHEMIN SAINT-FRANCOIS","Y6430K","ON"
